lsoa11cd,CURRENT_EPC_RATING_MODE,POTENTIAL_EPC_RATING_MODE,EPC_PROPERTY_COUNT,EPC_PROPERTY_AGE_BAND_MODE,VOA_PROPERTY_COUNT,VOA_PROPERTY_AGE_BAND_MODE,PROPERTIES_WITH_EPC_PERC
E01011716,D,C,323,1967-1975,640,1955-1964,0.5
E01011717,D,B,397,1967-1975,700,1973-1982,0.57
E01011718,B,A,591,UNKNOWN,860,1973-1982,0.69
E01011719,D,B,304,1950-1966,660,1955-1964,0.46
E01011720,D,B,406,1967-1975,740,1965-1972,0.55
E01011721,D,B,364,1967-1975,640,1965-1972,0.57
E01011722,C,B,545,1950-1966,880,1955-1964,0.62
E01011723,C,B,523,1950-1966,770,1965-1972,0.68
E01011724,C,B,489,1950-1966,860,1945-1954,0.57
E01011725,D,C,507,1950-1966,710,1955-1964,0.71
E01011726,D,C,427,1950-1966,660,1955-1964,0.65
E01011727,D,B,391,1996-2002,700,1930-1939,0.56
E01011728,D,B,281,1950-1966,640,1955-1964,0.44
E01011729,D,B,592,1900-1929,830,PRE-1900,0.71
E01011730,D,B,464,1950-1966,700,1965-1972,0.66
E01011731,D,B,290,1930-1949,610,1930-1939,0.48
E01011732,D,B,437,1930-1949,850,1930-1939,0.51
E01011733,D,B,393,1930-1949,780,1930-1939,0.5
E01011734,C,B,810,UNKNOWN,1290,1930-1939,0.63
E01011735,C,B,477,1950-1966,760,1955-1964,0.63
E01011736,D,B,319,1930-1949,680,1930-1939,0.47
E01011737,D,B,495,1900-1929,780,PRE-1900,0.63
E01011738,D,B,336,1967-1975,670,1973-1982,0.5
E01011739,C,C,453,1950-1966,780,1965-1972,0.58
E01032487,D,B,280,1950-1966,500,1965-1972,0.56
E01032488,D,B,358,1996-2002,770,1965-1972,0.46
E01032489,D,B,742,1900-1929,1050,PRE-1900,0.71
E01032490,D,B,337,1996-2002,590,1993-1999,0.57
E01032491,D,B,245,1996-2002,500,1993-1999,0.49
E01032492,D,B,736,1900-1929,1110,PRE-1900,0.66
E01032493,D,B,384,1950-1966,670,1930-1939,0.57
E01032494,D,C,412,1930-1949,710,1919-1929,0.58
E01032495,C,B,911,UNKNOWN,1210,2000-2008,0.75
E01032496,C,B,601,2003-2006,970,2000-2008,0.62
E01032497,C,B,472,1950-1966,650,1965-1972,0.73
E01032498,D,B,368,1930-1949,730,1955-1964,0.5
E01032499,D,B,429,1950-1966,740,1955-1964,0.58
E01032500,D,C,510,1900-1929,680,PRE-1900,0.75
